Compound,X,GroupCat,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofB,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,ToleranceBVP,Vc
Ba2NiMoO6,O,3,58.6934,95.94,137.327,137.327,1.75,1.3,0.97,0.97,1.738,1.738,0.7,0.85,0.908,1.49,1.49,0.73,0.83,0.69,0.59,1.35,1.35,7.6398,7.09243,5.2117,5.2117,1.91,2.16,0.89,0.89,0.96,1.22,1.515,1.515,1897,1897,2913,4639,20.6,20.6,13.4,4.8,3.62,3.62,8.9,10.2,51.8,51.8,290.3,390.7,727,727,1455,2622,0.205,0.205,0.445,0.251,0.184,0.184,0.907,1.38,1.738,0.775,1.050151532,56.39554261
Ba2NiNbO6,O,NaN,58.6934,92.90638,137.327,137.327,1.75,1.23,0.97,0.97,1.738,1.738,0.768,0.786,0.844,1.49,1.49,0.78,0.7,0.56,0.64,1.35,1.35,7.6398,6.75885,5.2117,5.2117,1.91,1.6,0.89,0.89,0.96,1.23,1.515,1.515,1897,1897,2913,4744,20.6,20.6,13.4,7.3,3.62,3.62,8.9,8.57,51.8,51.8,290.3,323,727,727,1455,2477,0.205,0.205,0.445,0.265,0.184,0.184,0.907,0.537,1.738,0.777,1.04909451,70.57951389
Ba2NiOsO6,O,16,58.6934,190.23,137.327,137.327,1.75,1.52,0.97,0.97,1.738,1.738,0.82,0.85,0.908,1.49,1.49,0.685,0.83,0.69,0.55,1.35,1.35,7.6398,8.4382,5.2117,5.2117,1.91,2.2,0.89,0.89,0.96,1.17,1.515,1.515,1897,1897,2913,5012,20.6,20.6,13.4,5.1,3.62,3.62,8.9,22.59,51.8,51.8,290.3,304.1,727,727,1455,3033,0.205,0.205,0.445,0.13,0.184,0.184,0.907,0.876,1.738,0.835,1.01934024,54.87587452
Ba2NiReO6,O,3,58.6934,186.207,137.327,137.327,1.75,1.46,0.97,0.97,1.738,1.738,0.65,0.85,0.908,1.49,1.49,0.69,0.83,0.69,0.55,1.35,1.35,7.6398,7.8335,5.2117,5.2117,1.91,1.9,0.89,0.89,0.96,1.19,1.515,1.515,1897,1897,2913,5596,20.6,20.6,13.4,6.2,3.62,3.62,8.9,20.8,51.8,51.8,290.3,324.5,727,727,1455,3186,0.205,0.205,0.445,0.137,0.184,0.184,0.907,0.479,1.738,0.75,1.063546322,57.05386882
Ba2NiTeO6,O,16,58.6934,127.6,137.327,137.327,1.75,2.01,0.97,0.97,1.738,1.738,0.71,0.85,0.908,1.49,1.49,0.7,0.83,0.69,0.56,1.35,1.35,7.6398,9.0096,5.2117,5.2117,1.91,2.1,0.89,0.89,0.96,0.79,1.515,1.515,1897,1897,2913,-300,20.6,20.6,13.4,-300,3.62,3.62,8.9,-300,51.8,51.8,290.3,-300,727,727,1455,-300,0.205,0.205,0.445,-300,0.184,0.184,0.907,-300,1.738,0.78,1.04751296,56.26569626
Ba2NiTeO6,O,16,58.6934,127.6,137.327,137.327,1.75,2.01,0.97,0.97,1.738,1.738,0.71,0.85,0.908,1.49,1.49,0.7,0.83,0.69,0.56,1.35,1.35,7.6398,9.0096,5.2117,5.2117,1.91,2.1,0.89,0.89,0.96,0.79,1.515,1.515,1897,1897,2913,-300,20.6,20.6,13.4,-300,3.62,3.62,8.9,-300,51.8,51.8,290.3,-300,727,727,1455,-300,0.205,0.205,0.445,-300,0.184,0.184,0.907,-300,1.738,0.78,1.04751296,56.26569626
Ba2NiUO6,O,3,58.6934,238.02891,137.327,137.327,1.75,-300,0.97,0.97,1.738,1.738,0.84,0.85,0.908,1.49,1.49,0.87,0.83,0.69,0.73,1.35,1.35,7.6398,6.19405,5.2117,5.2117,1.91,1.7,0.89,0.89,0.96,-300,1.515,1.515,1897,1897,2913,4131,20.6,20.6,13.4,13.9,3.62,3.62,8.9,19.1,51.8,51.8,290.3,38.4,727,727,1455,1135,0.205,0.205,0.445,0.116,0.184,0.184,0.907,0.276,1.738,0.845,1.014379947,54.63052338
Ba2NiWO6,O,3,58.6934,183.84,137.327,137.327,1.75,1.4,0.97,0.97,1.738,1.738,0.71,0.85,0.908,1.49,1.49,0.74,0.83,0.69,0.6,1.35,1.35,7.6398,7.864,5.2117,5.2117,1.91,1.7,0.89,0.89,0.96,1.22,1.515,1.515,1897,1897,2913,5555,20.6,20.6,13.4,4.5,3.62,3.62,8.9,19.3,51.8,51.8,290.3,284.5,727,727,1455,3414,0.205,0.205,0.445,0.132,0.184,0.184,0.907,1.74,1.738,0.78,1.04751296,56.26569626
Ba2NiWO6,O,3,58.6934,183.84,137.327,137.327,1.75,1.4,0.97,0.97,1.738,1.738,0.71,0.85,0.908,1.49,1.49,0.74,0.83,0.69,0.6,1.35,1.35,7.6398,7.864,5.2117,5.2117,1.91,1.7,0.89,0.89,0.96,1.22,1.515,1.515,1897,1897,2913,5555,20.6,20.6,13.4,4.5,3.62,3.62,8.9,19.3,51.8,51.8,290.3,284.5,727,727,1455,3414,0.205,0.205,0.445,0.132,0.184,0.184,0.907,1.74,1.738,0.78,1.04751296,56.26569626
Ba2PbMoO6,O,NaN,207.2,95.94,137.327,137.327,1.55,1.3,0.97,0.97,1.738,1.738,0.7,1.308,1.366,1.49,1.49,0.73,1.33,1.19,0.59,1.35,1.35,7.41666,7.09243,5.2117,5.2117,1.8,2.16,0.89,0.89,0.96,1.22,1.515,1.515,1897,1897,1749,4639,20.6,20.6,28.9,4.8,3.62,3.62,11.3,10.2,51.8,51.8,23.1,390.7,727,727,327.46,2622,0.205,0.205,0.127,0.251,0.184,0.184,0.353,1.38,1.738,1.004,0.941531523,50.31151021
Ba2PbPuO6,O,NaN,207.2,244.0642,137.327,137.327,1.55,-300,0.97,0.97,1.738,1.738,0.85,1.308,1.366,1.49,1.49,0.85,1.33,1.19,0.71,1.35,1.35,7.41666,6.0262,5.2117,5.2117,1.8,1.3,0.89,0.89,0.96,-300,1.515,1.515,1897,1897,1749,3228,20.6,20.6,28.9,46.7,3.62,3.62,11.3,19.7,51.8,51.8,23.1,11.6,727,727,327.46,640,0.205,0.205,0.127,-300,0.184,0.184,0.353,0.0674,1.738,1.079,0.910681866,48.8043534
Ba2PbUO6,O,3,207.2,238.02891,137.327,137.327,1.55,-300,0.97,0.97,1.738,1.738,0.84,1.308,1.366,1.49,1.49,0.87,1.33,1.19,0.73,1.35,1.35,7.41666,6.19405,5.2117,5.2117,1.8,1.7,0.89,0.89,0.96,-300,1.515,1.515,1897,1897,1749,4131,20.6,20.6,28.9,13.9,3.62,3.62,11.3,19.1,51.8,51.8,23.1,38.4,727,727,327.46,1135,0.205,0.205,0.127,0.116,0.184,0.184,0.353,0.276,1.738,1.074,0.912675478,48.90201562
Ba2PrNbO6,O,5,140.90765,92.90638,137.327,137.327,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.184,1.242,1.49,1.49,0.78,1.13,0.99,0.64,1.35,1.35,5.473,6.75885,5.2117,5.2117,1.13,1.6,0.89,0.89,-300,1.23,1.515,1.515,1897,1897,3520,4744,20.6,20.6,6.7,7.3,3.62,3.62,6.77,8.57,51.8,51.8,48.9,323,727,727,931,2477,0.205,0.205,0.193,0.265,0.184,0.184,0.125,0.537,1.738,0.976,0.953591396,63.86060633
Ba2PrOsO6,O,NaN,140.90765,190.23,137.327,137.327,-300,1.52,0.97,0.97,1.738,1.738,-300,1.184,1.242,1.49,1.49,0.715,1.13,0.99,0.58,1.35,1.35,5.473,8.4382,5.2117,5.2117,1.13,2.2,0.89,0.89,-300,1.17,1.515,1.515,1897,1897,3520,5012,20.6,20.6,6.7,5.1,3.62,3.62,6.77,22.59,51.8,51.8,48.9,304.1,727,727,931,3033,0.205,0.205,0.193,0.13,0.184,0.184,0.125,0.876,1.738,-149.408,-300,-1.032047337
Ba2PrPtO6,O,3,140.90765,195.078,137.327,137.327,-300,1.44,0.97,0.97,1.738,1.738,0.819,-300,0,1.49,1.49,0.765,0.99,0.85,0.63,1.35,1.35,5.473,8.9587,5.2117,5.2117,1.13,2.2,0.89,0.89,-300,1.24,1.515,1.515,1897,1897,3520,3825,20.6,20.6,6.7,8.8,3.62,3.62,6.77,21.5,51.8,51.8,48.9,113.6,727,727,931,1768.2,0.205,0.205,0.193,0.133,0.184,0.184,0.125,0.716,1.738,-149.5905,-300,95.45787001
Ba2PrSbO6,O,NaN,140.90765,121.76,137.327,137.327,-300,1.82,0.97,0.97,1.738,1.738,0.799,1.184,1.242,1.49,1.49,0.74,1.13,0.99,0.6,1.35,1.35,5.473,8.6084,5.2117,5.2117,1.13,2.05,0.89,0.89,-300,0.83,1.515,1.515,1897,1897,3520,1587,20.6,20.6,6.7,11,3.62,3.62,6.77,6.68,51.8,51.8,48.9,162.5,727,727,931,630.63,0.205,0.205,0.193,0.207,0.184,0.184,0.125,0.243,1.738,0.9915,0.946877489,63.44940592
Ba2PrSnO6,O,NaN,140.90765,118.71,137.327,137.327,-300,1.72,0.97,0.97,1.738,1.738,0.845,-300,0,1.49,1.49,0.83,0.99,0.85,0.69,1.35,1.35,5.473,7.3439,5.2117,5.2117,1.13,1.96,0.89,0.89,-300,0.88,1.515,1.515,1897,1897,3520,2602,20.6,20.6,6.7,22,3.62,3.62,6.77,7.26,51.8,51.8,48.9,60.4,727,727,931,231.93,0.205,0.205,0.193,0.227,0.184,0.184,0.125,0.666,1.738,-149.5775,-300,94.73625785
Ba2PrTaO6,O,NaN,140.90765,180.9479,137.327,137.327,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.184,1.242,1.49,1.49,0.78,1.13,0.99,0.64,1.35,1.35,5.473,7.5496,5.2117,5.2117,1.13,1.5,0.89,0.89,-300,1.28,1.515,1.515,1897,1897,3520,5458,20.6,20.6,6.7,6.3,3.62,3.62,6.77,16.4,51.8,51.8,48.9,202.1,727,727,931,3007,0.205,0.205,0.193,0.14,0.184,0.184,0.125,0.575,1.738,0.9805,0.951632409,63.74067753
Ba2PrWO6,O,NaN,140.90765,183.84,137.327,137.327,-300,1.4,0.97,0.97,1.738,1.738,0.747,1.184,1.242,1.49,1.49,0.76,1.13,0.99,0.62,1.35,1.35,5.473,7.864,5.2117,5.2117,1.13,1.7,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,3520,5555,20.6,20.6,6.7,4.5,3.62,3.62,6.77,19.3,51.8,51.8,48.9,284.5,727,727,931,3414,0.205,0.205,0.193,0.132,0.184,0.184,0.125,1.74,1.738,0.9655,0.958193882,64.14220296
Ba2RhNbO6,O,NaN,102.9055,92.90638,137.327,137.327,1.45,1.23,0.97,0.97,1.738,1.738,0.768,0.839,0.897,1.49,1.49,0.78,0.805,0.67,0.64,1.35,1.35,7.4589,6.75885,5.2117,5.2117,2.28,1.6,0.89,0.89,1.11,1.23,1.515,1.515,1897,1897,3695,4744,20.6,20.6,8.2,7.3,3.62,3.62,12.4,8.57,51.8,51.8,258.4,323,727,727,1963,2477,0.205,0.205,0.243,0.265,0.184,0.184,1.5,0.537,1.738,0.8035,1.035287207,69.60431192
Ba2RhRuO6,O,NaN,102.9055,101.07,137.327,137.327,1.45,1.42,0.97,0.97,1.738,1.738,0.757,0.839,0.897,1.49,1.49,0.705,0.805,0.67,0.57,1.35,1.35,7.4589,7.3605,5.2117,5.2117,2.28,2.2,0.89,0.89,1.11,1.145,1.515,1.515,1897,1897,3695,4150,20.6,20.6,8.2,6.4,3.62,3.62,12.4,12.1,51.8,51.8,258.4,381.8,727,727,1963,2333,0.205,0.205,0.243,0.238,0.184,0.184,1.5,1.17,1.738,0.798,1.038122904,69.77921044
Ba2RhSbO6,O,NaN,102.9055,121.76,137.327,137.327,1.45,1.82,0.97,0.97,1.738,1.738,0.799,0.839,0.897,1.49,1.49,0.74,0.805,0.67,0.6,1.35,1.35,7.4589,8.6084,5.2117,5.2117,2.28,2.05,0.89,0.89,1.11,0.83,1.515,1.515,1897,1897,3695,1587,20.6,20.6,8.2,11,3.62,3.62,12.4,6.68,51.8,51.8,258.4,162.5,727,727,1963,630.63,0.205,0.205,0.243,0.207,0.184,0.184,1.5,0.243,1.738,0.819,1.027378409,69.11610007
Ba2RhUO6,O,NaN,102.9055,238.02891,137.327,137.327,1.45,-300,0.97,0.97,1.738,1.738,0.932,0.839,0.897,1.49,1.49,0.9,0.805,0.67,0.76,1.35,1.35,7.4589,6.19405,5.2117,5.2117,2.28,1.7,0.89,0.89,1.11,-300,1.515,1.515,1897,1897,3695,4131,20.6,20.6,8.2,13.9,3.62,3.62,12.4,19.1,51.8,51.8,258.4,38.4,727,727,1963,1135,0.205,0.205,0.243,0.116,0.184,0.184,1.5,0.276,1.738,0.8855,0.994774894,67.09696671
Ba2ScBiO6,O,NaN,44.95591,208.98038,137.327,137.327,1.2,1.67,0.97,0.97,1.738,1.738,0.917,0.895,0.953,1.49,1.49,0.9,0.885,0.75,0.76,1.35,1.35,6.5615,7.2856,5.2117,5.2117,1.36,1.9,0.89,0.89,1.22,0.92,1.515,1.515,1897,1897,2836,1564,20.6,20.6,10.2,13.4,3.62,3.62,2.99,9.79,51.8,51.8,314,53.3,727,727,1541,271.4,0.205,0.205,0.567,0.122,0.184,0.184,0.158,0.0787,1.738,0.906,0.985137425,66.38147459
Ba2ScIrO6,O,3,44.95591,192.217,137.327,137.327,1.2,1.55,0.97,0.97,1.738,1.738,0.773,0.895,0.953,1.49,1.49,0.71,0.885,0.75,0.57,1.35,1.35,6.5615,8.967,5.2117,5.2117,1.36,2.2,0.89,0.89,1.22,1.16,1.515,1.515,1897,1897,2836,4428,20.6,20.6,10.2,6.4,3.62,3.62,2.99,22.5,51.8,51.8,314,213.9,727,727,1541,2446,0.205,0.205,0.567,0.131,0.184,0.184,0.158,1.47,1.738,0.834,1.019838939,68.5258207
Ba2ScMoO6,O,NaN,44.95591,95.94,137.327,137.327,1.2,1.3,0.97,0.97,1.738,1.738,0.707,0.895,0.953,1.49,1.49,0.75,0.885,0.75,0.61,1.35,1.35,6.5615,7.09243,5.2117,5.2117,1.36,2.16,0.89,0.89,1.22,1.22,1.515,1.515,1897,1897,2836,4639,20.6,20.6,10.2,4.8,3.62,3.62,2.99,10.2,51.8,51.8,314,390.7,727,727,1541,2622,0.205,0.205,0.567,0.251,0.184,0.184,0.158,1.38,1.738,0.801,1.036574237,69.55564182
Ba2ScNbO6,O,NaN,44.95591,92.90638,137.327,137.327,1.2,1.23,0.97,0.97,1.738,1.738,0.768,0.895,0.953,1.49,1.49,0.78,0.885,0.75,0.64,1.35,1.35,6.5615,6.75885,5.2117,5.2117,1.36,1.6,0.89,0.89,1.22,1.23,1.515,1.515,1897,1897,2836,4744,20.6,20.6,10.2,7.3,3.62,3.62,2.99,8.57,51.8,51.8,314,323,727,727,1541,2477,0.205,0.205,0.567,0.265,0.184,0.184,0.158,0.537,1.738,0.8315,1.021087823,68.60276867
Ba2ScOsO6,O,3,44.95591,190.23,137.327,137.327,1.2,1.52,0.97,0.97,1.738,1.738,-300,0.895,0.953,1.49,1.49,0.715,0.885,0.75,0.58,1.35,1.35,6.5615,8.4382,5.2117,5.2117,1.36,2.2,0.89,0.89,1.22,1.17,1.515,1.515,1897,1897,2836,5012,20.6,20.6,10.2,5.1,3.62,3.62,2.99,22.59,51.8,51.8,314,304.1,727,727,1541,3033,0.205,0.205,0.567,0.13,0.184,0.184,0.158,0.876,1.738,-149.5525,-300,-1.030895699
Ba2ScReO6,O,NaN,44.95591,186.207,137.327,137.327,1.2,1.46,0.97,0.97,1.738,1.738,0.717,0.895,0.953,1.49,1.49,0.72,0.885,0.75,0.58,1.35,1.35,6.5615,7.8335,5.2117,5.2117,1.36,1.9,0.89,0.89,1.22,1.19,1.515,1.515,1897,1897,2836,5596,20.6,20.6,10.2,6.2,3.62,3.62,2.99,20.8,51.8,51.8,314,324.5,727,727,1541,3186,0.205,0.205,0.567,0.137,0.184,0.184,0.158,0.479,1.738,0.806,1.034003369,69.39762322
Ba2ScSbO6,O,3,44.95591,121.76,137.327,137.327,1.2,1.82,0.97,0.97,1.738,1.738,0.799,0.895,0.953,1.49,1.49,0.74,0.885,0.75,0.6,1.35,1.35,6.5615,8.6084,5.2117,5.2117,1.36,2.05,0.89,0.89,1.22,0.83,1.515,1.515,1897,1897,2836,1587,20.6,20.6,10.2,11,3.62,3.62,2.99,6.68,51.8,51.8,314,162.5,727,727,1541,630.63,0.205,0.205,0.567,0.207,0.184,0.184,0.158,0.243,1.738,0.847,1.013393676,68.12845772
Ba2ScTaO6,O,NaN,44.95591,180.9479,137.327,137.327,1.2,1.33,0.97,0.97,1.738,1.738,0.777,0.895,0.953,1.49,1.49,0.78,0.885,0.75,0.64,1.35,1.35,6.5615,7.5496,5.2117,5.2117,1.36,1.5,0.89,0.89,1.22,1.28,1.515,1.515,1897,1897,2836,5458,20.6,20.6,10.2,6.3,3.62,3.62,2.99,16.4,51.8,51.8,314,202.1,727,727,1541,3007,0.205,0.205,0.567,0.14,0.184,0.184,0.158,0.575,1.738,0.836,1.018842029,68.4643865
Ba2ScUO6,O,NaN,44.95591,238.02891,137.327,137.327,1.2,-300,0.97,0.97,1.738,1.738,0.932,0.895,0.953,1.49,1.49,0.9,0.885,0.75,0.76,1.35,1.35,6.5615,6.19405,5.2117,5.2117,1.36,1.7,0.89,0.89,1.22,-300,1.515,1.515,1897,1897,2836,4131,20.6,20.6,10.2,13.9,3.62,3.62,2.99,19.1,51.8,51.8,314,38.4,727,727,1541,1135,0.205,0.205,0.567,0.116,0.184,0.184,0.158,0.276,1.738,0.9135,0.981658013,66.16579803
Ba2SmBiO6,O,NaN,150.36,208.98038,137.327,137.327,-300,1.67,0.97,0.97,1.738,1.738,0.917,1.134,1.192,1.49,1.49,0.9,1.098,0.96,0.76,1.35,1.35,5.6436,7.2856,5.2117,5.2117,1.17,1.9,0.89,0.89,-300,0.92,1.515,1.515,1897,1897,1794,1564,20.6,20.6,12.7,13.4,3.62,3.62,7.52,9.79,51.8,51.8,57.3,53.3,727,727,1074,271.4,0.205,0.205,0.196,0.122,0.184,0.184,0.133,0.0787,1.738,1.0255,0.93247631,62.65818756
Ba2SmIrO6,O,NaN,150.36,192.217,137.327,137.327,-300,1.55,0.97,0.97,1.738,1.738,0.773,1.134,1.192,1.49,1.49,0.71,1.098,0.96,0.57,1.35,1.35,5.6436,8.967,5.2117,5.2117,1.17,2.2,0.89,0.89,-300,1.16,1.515,1.515,1897,1897,1794,4428,20.6,20.6,12.7,6.4,3.62,3.62,7.52,22.5,51.8,51.8,57.3,213.9,727,727,1074,2446,0.205,0.205,0.196,0.131,0.184,0.184,0.133,1.47,1.738,0.9535,0.96350857,64.56527486
Ba2SmMoO6,O,NaN,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmMoO6,O,NaN,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmMoO6,O,3,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmMoO6,O,3,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmMoO6,O,3,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmMoO6,O,3,150.36,95.94,137.327,137.327,-300,1.3,0.97,0.97,1.738,1.738,0.707,1.134,1.192,1.49,1.49,0.75,1.098,0.96,0.61,1.35,1.35,5.6436,7.09243,5.2117,5.2117,1.17,2.16,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,4639,20.6,20.6,12.7,4.8,3.62,3.62,7.52,10.2,51.8,51.8,57.3,390.7,727,727,1074,2622,0.205,0.205,0.196,0.251,0.184,0.184,0.133,1.38,1.738,0.9205,0.978432664,65.47870273
Ba2SmNbO6,O,3,150.36,92.90638,137.327,137.327,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.134,1.192,1.49,1.49,0.78,1.098,0.96,0.64,1.35,1.35,5.6436,6.75885,5.2117,5.2117,1.17,1.6,0.89,0.89,-300,1.23,1.515,1.515,1897,1897,1794,4744,20.6,20.6,12.7,7.3,3.62,3.62,7.52,8.57,51.8,51.8,57.3,323,727,727,1074,2477,0.205,0.205,0.196,0.265,0.184,0.184,0.133,0.537,1.738,0.951,0.964623226,64.6335808
Ba2SmOsO6,O,3,150.36,190.23,137.327,137.327,-300,1.52,0.97,0.97,1.738,1.738,-300,1.134,1.192,1.49,1.49,0.715,1.098,0.96,0.58,1.35,1.35,5.6436,8.4382,5.2117,5.2117,1.17,2.2,0.89,0.89,-300,1.17,1.515,1.515,1897,1897,1794,5012,20.6,20.6,12.7,5.1,3.62,3.62,7.52,22.59,51.8,51.8,57.3,304.1,727,727,1074,3033,0.205,0.205,0.196,0.13,0.184,0.184,0.133,0.876,1.738,-149.433,-300,-1.031847908
Ba2SmReO6,O,3,150.36,186.207,137.327,137.327,-300,1.46,0.97,0.97,1.738,1.738,0.717,1.134,1.192,1.49,1.49,0.72,1.098,0.96,0.58,1.35,1.35,5.6436,7.8335,5.2117,5.2117,1.17,1.9,0.89,0.89,-300,1.19,1.515,1.515,1897,1897,1794,5596,20.6,20.6,12.7,6.2,3.62,3.62,7.52,20.8,51.8,51.8,57.3,324.5,727,727,1074,3186,0.205,0.205,0.196,0.137,0.184,0.184,0.133,0.479,1.738,0.9255,0.976141789,65.33864682
Ba2SmRuO6,O,NaN,150.36,101.07,137.327,137.327,-300,1.42,0.97,0.97,1.738,1.738,0.757,1.134,1.192,1.49,1.49,0.705,1.098,0.96,0.57,1.35,1.35,5.6436,7.3605,5.2117,5.2117,1.17,2.2,0.89,0.89,-300,1.145,1.515,1.515,1897,1897,1794,4150,20.6,20.6,12.7,6.4,3.62,3.62,7.52,12.1,51.8,51.8,57.3,381.8,727,727,1074,2333,0.205,0.205,0.196,0.238,0.184,0.184,0.133,1.17,1.738,0.9455,0.96708457,64.78436379
Ba2SmSbO6,O,3,150.36,121.76,137.327,137.327,-300,1.82,0.97,0.97,1.738,1.738,0.799,1.134,1.192,1.49,1.49,0.74,1.098,0.96,0.6,1.35,1.35,5.6436,8.6084,5.2117,5.2117,1.17,2.05,0.89,0.89,-300,0.83,1.515,1.515,1897,1897,1794,1587,20.6,20.6,12.7,11,3.62,3.62,7.52,6.68,51.8,51.8,57.3,162.5,727,727,1074,630.63,0.205,0.205,0.196,0.207,0.184,0.184,0.133,0.243,1.738,0.9665,0.957753637,64.21239856
Ba2SmTaO6,O,NaN,150.36,180.9479,137.327,137.327,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.134,1.192,1.49,1.49,0.78,1.098,0.96,0.64,1.35,1.35,5.6436,7.5496,5.2117,5.2117,1.17,1.5,0.89,0.89,-300,1.28,1.515,1.515,1897,1897,1794,5458,20.6,20.6,12.7,6.3,3.62,3.62,7.52,16.4,51.8,51.8,57.3,202.1,727,727,1074,3007,0.205,0.205,0.196,0.14,0.184,0.184,0.133,0.575,1.738,0.9555,0.962618698,64.51073397
Ba2SmUO6,O,5,150.36,238.02891,137.327,137.327,-300,-300,0.97,0.97,1.738,1.738,0.932,1.134,1.192,1.49,1.49,0.9,1.098,0.96,0.76,1.35,1.35,5.6436,6.19405,5.2117,5.2117,1.17,1.7,0.89,0.89,-300,-300,1.515,1.515,1897,1897,1794,4131,20.6,20.6,12.7,13.9,3.62,3.62,7.52,19.1,51.8,51.8,57.3,38.4,727,727,1074,1135,0.205,0.205,0.196,0.116,0.184,0.184,0.133,0.276,1.738,1.033,0.929358355,62.46599172
Ba2SmWO6,O,NaN,150.36,183.84,137.327,137.327,-300,1.4,0.97,0.97,1.738,1.738,0.747,1.134,1.192,1.49,1.49,0.76,1.098,0.96,0.62,1.35,1.35,5.6436,7.864,5.2117,5.2117,1.17,1.7,0.89,0.89,-300,1.22,1.515,1.515,1897,1897,1794,5555,20.6,20.6,12.7,4.5,3.62,3.62,7.52,19.3,51.8,51.8,57.3,284.5,727,727,1074,3414,0.205,0.205,0.196,0.132,0.184,0.184,0.133,1.74,1.738,0.9405,0.969333081,64.92205103
