Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
RbVF3,3,18.9984032,18.9984032,50.9415,50.9415,85.4678,85.4678,4.1,4.1,1.45,1.45,0.89,0.89,1.972,1.972,0.896,0.896,1.145,1.145,17.42282,17.42282,6.7462,6.7462,4.17713,4.17713,3.98,3.98,1.63,1.63,0.82,0.82,688,688,3407,3407,-300,-300,8.4,8.4,1.53,1.53,6,6,25.6,25.6,422,422,39.3,39.3,1910,1910,0.364,0.364,0.489,0.489,0.582,0.582,0.307,0.307,1.07988821
RbYbBr3,NaN,79.904,79.904,173.04,173.04,85.4678,85.4678,2.74,2.74,-300,-300,0.89,0.89,1.972,1.972,-300,-300,1.82,1.82,11.81381,11.81381,6.25416,6.25416,4.17713,4.17713,2.96,2.96,-300,-300,0.82,0.82,688,688,1196,1196,-300,-300,26.3,26.3,1.53,1.53,6.9,6.9,25.6,25.6,44.3,44.3,39.3,39.3,819,819,0.364,0.364,0.154,0.154,0.582,0.582,0.385,0.385,-300
RbYbF3,3,18.9984032,18.9984032,173.04,173.04,85.4678,85.4678,4.1,4.1,-300,-300,0.89,0.89,1.972,1.972,-300,-300,1.145,1.145,17.42282,17.42282,6.25416,6.25416,4.17713,4.17713,3.98,3.98,-300,-300,0.82,0.82,688,688,1196,1196,-300,-300,26.3,26.3,1.53,1.53,6.9,6.9,25.6,25.6,44.3,44.3,39.3,39.3,819,819,0.364,0.364,0.154,0.154,0.582,0.582,0.385,0.385,-300
RbZnF3,6,18.9984032,18.9984032,65.409,65.409,85.4678,85.4678,4.1,4.1,1.66,1.66,0.89,0.89,1.972,1.972,0.9,0.9,1.145,1.145,17.42282,17.42282,9.3942,9.3942,4.17713,4.17713,3.98,3.98,1.65,1.65,0.82,0.82,688,688,907,907,-300,-300,30.2,30.2,1.53,1.53,7.14,7.14,25.6,25.6,108.1,108.1,39.3,39.3,419.53,419.53,0.364,0.364,0.388,0.388,0.582,0.582,1.16,1.16,1.077775959
ScAlO3,5,15.9994,15.9994,26.981538,26.981538,44.95591,44.95591,3.5,3.5,1.47,1.47,1.2,1.2,1.152,1.152,0.666,0.666,1.21,1.21,13.61806,13.61806,5.98577,5.98577,6.5615,6.5615,3.44,3.44,1.61,1.61,1.36,1.36,2836,2836,2519,2519,10.2,10.2,23.1,23.1,2.99,2.99,2.7,2.7,314,314,399.9,399.9,1541,1541,660.32,660.32,0.567,0.567,0.904,0.904,0.158,0.158,2.37,2.37,0.890291161
ScBO3,13,15.9994,15.9994,10.811,10.811,44.95591,44.95591,3.5,3.5,2.01,2.01,1.2,1.2,1.152,1.152,0.417,0.417,1.21,1.21,13.61806,13.61806,8.29803,8.29803,6.5615,6.5615,3.44,3.44,2.04,2.04,1.36,1.36,2836,2836,-300,-300,10.2,10.2,-300,-300,2.99,2.99,-300,-300,314,314,-300,-300,1541,1541,-300,-300,0.567,0.567,-300,-300,0.158,0.158,-300,-300,1.026543465
ScCrO3,5,15.9994,15.9994,51.9961,51.9961,44.95591,44.95591,3.5,3.5,1.56,1.56,1.2,1.2,1.152,1.152,0.77,0.77,1.21,1.21,13.61806,13.61806,6.7665,6.7665,6.5615,6.5615,3.44,3.44,1.66,1.66,1.36,1.36,2836,2836,2671,2671,10.2,10.2,4.9,4.9,2.99,2.99,7.15,7.15,314,314,404,404,1541,1541,1907,1907,0.567,0.567,0.45,0.45,0.158,0.158,0.937,0.937,0.843528393
Sm2CoMnO6,NaN,15.9994,15.9994,58.9332,54.938049,150.36,150.36,3.5,3.5,1.7,1.6,-300,-300,1.391,1.391,0.693,0.888,1.21,1.21,13.61806,13.61806,7.881,7.43402,5.6436,5.6436,3.44,3.44,1.88,1.55,1.17,1.17,1794,1794,2927,2061,12.7,12.7,13,21.7,7.52,7.52,8.86,7.3,57.3,57.3,272.5,235,1074,1074,1495,1246,0.196,0.196,0.421,0.479,0.133,0.133,1,0.0782,0.919362528
Sm2CuTiO6,NaN,15.9994,15.9994,63.546,47.867,150.36,150.36,3.5,3.5,1.75,1.32,-300,-300,1.391,1.391,0.755,0.875,1.21,1.21,13.61806,13.61806,7.72638,6.8281,5.6436,5.6436,3.44,3.44,1.9,1.54,1.17,1.17,1794,1794,2562,3287,12.7,12.7,16.5,8.6,7.52,7.52,8.96,4.51,57.3,57.3,203.5,295.6,1074,1074,1084.62,1670,0.196,0.196,0.384,0.522,0.133,0.133,4.01,0.219,0.908239377
Sm2MnRhO6,NaN,15.9994,15.9994,54.938049,102.9055,150.36,150.36,3.5,3.5,1.6,1.45,-300,-300,1.391,1.391,0.839,0.806,1.21,1.21,13.61806,13.61806,7.43402,7.4589,5.6436,5.6436,3.44,3.44,1.55,2.28,1.17,1.17,1794,1794,2061,3695,12.7,12.7,21.7,8.2,7.52,7.52,7.3,12.4,57.3,57.3,235,258.4,1074,1074,1246,1963,0.196,0.196,0.479,0.243,0.133,0.133,0.0782,1.5,0.90488794
